set,probe,dn_median_km,dn_maxabs_km,cross_time,rN_km,time,shear_deg,sigma_deg,ref,tgt,pred_err_median_s,pred_err_mean_s,pred_err_std_s
all_1243,1,-14.407672243759706,610.7435159911129,,,,,,,,,,
all_1243,2,-8.362706131172835,331.37255634228814,,,,,,,,,,
all_1243,3,133.00722376268857,594.6998777306901,,,,,,,,,,
all_1243,4,0.0,301.4721330783263,,,,,,,,,,
all_1243,2,,,2019-01-27T12:15:25+00:00,-5185.255127790403,,,,,,,,
all_1243,1,,,2019-01-27T12:15:26+00:00,-10441.716447941322,,,,,,,,
all_1243,4,,,2019-01-27T12:15:27+00:00,-12065.350188931523,,,,,,,,
all_1243,3,,,2019-01-27T12:15:30+00:00,-3396.6333480500853,,,,,,,,
all_1243,1,,,,,2019-01-27T12:18:00+00:00,150.40817164562804,9.906832231198736,,,,,
all_1243,2,,,,,2019-01-27T12:18:00+00:00,150.73828837024158,11.837034561916749,,,,,
all_1243,3,,,,,2019-01-27T12:18:00+00:00,145.10055407304782,15.268532479392283,,,,,
all_1243,4,,,,,2019-01-27T12:18:00+00:00,146.07525012485212,15.060291444806799,,,,,
all_1243,,,,,,,,,1,2,4.058996,41.55949846666667,150.62868803988377
all_1243,,,,,,,,,1,3,4.241515,1.4990947333333333,15.87298919710383
all_1243,,,,,,,,,1,4,1.054855,4.829541533333333,15.055818499373071
all_1243,,,,,,,,,2,1,-3.0834215,-3.7591929166666667,10.950649413806739
all_1243,,,,,,,,,2,3,4.927278,3.3836545833333336,18.653840591101353
all_1243,,,,,,,,,2,4,-1.2469605,-0.4327530833333337,16.024689435415866
all_1243,,,,,,,,,3,1,-2.6263135,5.4299225625,20.65382959023012
all_1243,,,,,,,,,3,2,2.670452,41.386178124999994,148.42195463484762
all_1243,,,,,,,,,3,4,-2.3172615,4.1353804375,19.434540644391078
all_1243,,,,,,,,,4,1,-1.152763,0.5326997333333333,11.535824992373817
all_1243,,,,,,,,,4,2,2.29642,40.28441193333334,147.22549393840362
all_1243,,,,,,,,,4,3,3.36628,4.0546786,15.080176499495188
mixed_1230_1243,1,-14.407672243759706,610.7435159911129,,,,,,,,,,
mixed_1230_1243,2,-8.362706131172835,331.37255634228814,,,,,,,,,,
mixed_1230_1243,3,152.49654310662336,614.6006043321876,,,,,,,,,,
mixed_1230_1243,4,3.665534442377453,378.83786888586843,,,,,,,,,,
mixed_1230_1243,2,,,2019-01-27T12:15:25+00:00,-5185.255127790403,,,,,,,,
mixed_1230_1243,1,,,2019-01-27T12:15:26+00:00,-10441.716447941322,,,,,,,,
mixed_1230_1243,4,,,2019-01-27T12:15:27+00:00,22548.825238055473,,,,,,,,
mixed_1230_1243,3,,,2019-01-27T12:15:30+00:00,5923.576308664859,,,,,,,,
mixed_1230_1243,1,,,,,2019-01-27T12:18:00+00:00,150.40817164562804,9.906832231198736,,,,,
mixed_1230_1243,2,,,,,2019-01-27T12:18:00+00:00,150.73828837024158,11.837034561916749,,,,,
mixed_1230_1243,3,,,,,2019-01-27T12:18:00+00:00,145.10055407304782,15.268532479392283,,,,,
mixed_1230_1243,4,,,,,2019-01-27T12:18:00+00:00,145.11537786305644,17.116911390820878,,,,,
mixed_1230_1243,,,,,,,,,1,2,4.058996,41.55949846666667,150.62868803988377
mixed_1230_1243,,,,,,,,,1,3,3.143976,-0.30090526666666645,15.722108696989292
mixed_1230_1243,,,,,,,,,1,4,0.957109,1.4295415333333337,18.130921708516368
mixed_1230_1243,,,,,,,,,2,1,-3.0834215,-3.7591929166666667,10.950649413806739
mixed_1230_1243,,,,,,,,,2,3,7.616462,4.383654583333334,18.723490881729838
mixed_1230_1243,,,,,,,,,2,4,1.6475680000000001,2.733913583333333,18.52812617596388
mixed_1230_1243,,,,,,,,,3,1,0.31557599999999997,7.9012149375,21.089059249737872
mixed_1230_1243,,,,,,,,,3,2,0.05382349999999997,42.164023875000005,149.20496177462275
mixed_1230_1243,,,,,,,,,3,4,0.1415945,3.2238623750000004,22.06941320707102
mixed_1230_1243,,,,,,,,,4,1,0.033768500000000035,1.0688490714285714,15.75428800157508
mixed_1230_1243,,,,,,,,,4,2,4.6767385,41.78680457142857,155.02575448051758
mixed_1230_1243,,,,,,,,,4,3,0.28436449999999996,1.2335130714285714,28.478421117109605
